iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
aar,5,0.27999999999999997,0.25,qaf,Lowland East Cushitic,Qafar
abb,1,1,1,bnk,Bantoid,Bankon
abk,28,0.7038265306122449,0.6717687074829932,abk,Northwest Caucasian,Abkhaz
abq,1,1,1,abz,Northwest Caucasian,Abaza
abt,6,0.33333333333333337,0.33333333333333337,amb,Ndu,Ambulas
abz,7,0.42857142857142855,0.42857142857142855,abv,Greater Alor,Abui
aca,6,0.8333333333333334,0.8333333333333334,acg,Inland Northern Arawakan,Achagua
ace,14,0.1726190476190476,0.1428571428571429,ace,Malayo-Sumbawan,Acehnese
ach,9,0.7777777777777778,0.7777777777777778,acl,Nilotic,Acholi
acm,10,0.8,0.8,arq,Semitic,Arabic (Iraqi)
acu,6,1,1,acu,Jivaroan,Achuar
acv,5,0.8,0.8,acm,Palaihnihan,Achumawi
adi,4,0.9166666666666667,0.9166666666666667,boj,Tani,Bori
adj,8,0.5,0.5,adi,Kwa,Adioukrou
adn,7,0.14285714285714288,0.14285714285714288,adg,Greater Alor,Adang
adt,5,0.6,0.6,adn,Central Pama-Nyungan,Adynyamathanha
adx,1,1,1,amd,Bodic,Amdo
ady,2,0.9047619047619048,0.8888888888888888,adt,Northwest Caucasian,Adyghe (Temirgoy)
adz,2,0.6666666666666666,0.5,adz,Oceanic,Adzera
aeb,3,0.5,0.4444444444444444,atu,Semitic,Arabic (Tunisian)
aer,12,0.6329365079365079,0.6055555555555555,amp,Central Pama-Nyungan,Arrernte (Mparntwe)
aes,1,1,1,als,Alsea,Alsea
aey,27,0.45604056437389773,0.40987654320987654,ame,Madang,Amele
afb,10,0.48,0.47500000000000003,arg,Semitic,Arabic (Gulf)
afn,1,0.6,0.5,def,Ijoid,Defaka
afr,4,0.125,0.08333333333333334,afr,Germanic,Afrikaans
agb,2,0.5,0.5,agb,Cross River,Leggbó
agd,6,0.9166666666666666,0.8888888888888888,aga,Eastern Highlands,Agarabi
agg,8,0.5,0.5,ang,Senagi,Anggor
agh,2,0.5,0.5,leb,Bantoid,Lebeo
agq,2,0,0,agh,Bantoid,Aghem
agr,1,0,0,agr,Jivaroan,Aguaruna
agt,8,0.625,0.625,agc,Greater Central Philippine,Agta (Central)
agx,2,0.5,0.5,agl,Lezgic,Aghul
ahg,7,1,1,kem,Central Cushitic,Kemant
ahk,6,0.16666666666666669,0.16666666666666669,akh,Burmese-Lolo,Akha
aia,7,0.2857142857142857,0.2857142857142857,aro,Oceanic,Arosi
aie,1,1,1,ama,Oceanic,Amara
aij,10,0.7,0.7,naj,Semitic,Neo-Aramaic (Arbel Jewish)
ain,25,0.5018095238095237,0.45066666666666666,ain,NA,Ainu
aiw,9,0.6666666666666666,0.6666666666666666,aar,South Omotic,Aari
aja,2,1,1,aja,Kresh,Aja
ajg,4,0.5,0.5,ajg,Kwa,Ajagbe
aji,1,1,1,aji,Oceanic,Ajië
ajp,1,0.25,0,apa,Semitic,Arabic (Palestinian)
aka,14,0.6428571428571429,0.6190476190476191,akn,Kwa,Akan
akc,4,0.5,0.5,mpu,Kebar,Mpur
akr,1,0.25,0,ark,Oceanic,Araki
akz,2,1,1,abm,Muskogean,Alabama
alc,8,0.39583333333333337,0.26785714285714285,qaw,Alacalufan,Qawasqar
ale,7,0.7785714285714286,0.7346938775510204,aea,Aleut,Aleut (Eastern)
alh,14,0.6964285714285714,0.6666666666666666,alw,Alawa,Alawa
aln,17,0.6029411764705882,0.5938375350140056,NA,NA,NA
alo,1,1,1,lrk,Central Malayo-Polynesian,Larike
alp,9,0.33333333333333337,0.33333333333333337,aln,Central Malayo-Polynesian,Alune
alr,1,0,0,alu,Northern Chukotko-Kamchatkan,Alutor
als,17,0.6029411764705882,0.5938375350140056,NA,NA,NA
alt,1,0,0,aso,Turkic,Altai (Southern)
aly,12,0.8472222222222222,0.8277777777777777,aly,Central Pama-Nyungan,Alyawarra
amc,8,0.625,0.625,amc,Panoan,Amahuaca
ame,2,1,1,amu,Yanesha',Amuesha
amf,2,0.29166666666666663,0,hmr,South Omotic,Hamer
amh,21,0.5428571428571429,0.5107709750566893,amh,Semitic,Amharic
amk,8,0.5,0.5,amq,South Halmahera - West New Guinea,Ambai
amn,7,0.42857142857142855,0.42857142857142855,amn,Border,Amanab
amo,5,0.8,0.8,amo,Kainji,Amo
amp,24,0.640922619047619,0.6086309523809523,ala,Sepik Hill,Alamblak
amy,1,1,1,emm,Wagaydy,Emmi
anc,6,0.16666666666666669,0.16666666666666669,anc,West Chadic,Angas
ane,8,0.125,0.125,xar,Oceanic,Xârâcùù
anh,1,1,1,nnd,Madang,Nend
ank,8,0,0,goe,West Chadic,Goemai
ann,12,0.41666666666666663,0.41666666666666663,obo,Cross River,Obolo
ano,4,0.75,0.75,adk,NA,Andoke
anq,1,1,1,jrw,South Andamanese,Jarawa (in Andamans)
anu,7,0.5714285714285714,0.5714285714285714,any,Nilotic,Anywa
any,2,1,1,ayi,Kwa,Anyi
anz,5,0.8,0.8,ane,NA,Anêm
aoa,1,0.5,0.3333333333333333,ago,Creoles and Pidgins,Angolar
aoc,1,0,0,pem,Cariban,Pemon
aoi,6,0.8333333333333334,0.8333333333333334,ann,Anindilyakwa,Anindilyakwa
aoj,7,0.42857142857142855,0.42857142857142855,aoj,Kombio-Arapesh,Mufian
aom,6,0.5,0.5,omi,Koiarian,Ömie
apb,5,0.2,0.2,saa,Oceanic,Sa'a
apc,6.5,0.85,0.84375,abe,Semitic,Arabic (Beirut)
ape,21,0.5382653061224489,0.49206349206349204,arp,Kombio-Arapesh,Arapesh (Mountain)
aph,9,0.8888888888888888,0.8888888888888888,ath,Mahakiranti,Athpare
apm,1,1,1,apc,Athapaskan,Apache (Chiricahua)
apn,5,0.55,0.5333333333333333,api,Ge-Kaingang,Apinayé
apq,3,1,1,apk,Great Andamanese,A-Pucikwar
apr,4,0.25,0.25,alk,Oceanic,Arop-Lokep
apt,7,0.5,0.47619047619047616,apt,Tani,Apatani
apu,27,0.573015873015873,0.5339506172839507,apu,Purus,Apurinã
apw,5,1,1,apw,Athapaskan,Apache (Western)
apy,14,0.5714285714285714,0.5714285714285714,apl,Cariban,Apalaí
aqc,11,0.7090909090909091,0.7045454545454546,arc,Lezgic,Archi
aqp,3,0.9047619047619048,0.8888888888888888,atk,NA,Atakapa
arb,5,0.8,0.8,ams,Semitic,Arabic (Modern Standard)
ard,7,0.6476190476190476,0.5714285714285714,abn,Central Pama-Nyungan,Arabana
