confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,358,,70A-abk,{},,,225,225
,,362,,70A-abu,{},,,395,395
,,362,,70A-ace,{},,,506,506
,,358,,70A-acl,{},,,616,616
,,358,,70A-acu,{},,,819,819
,,358,,70A-aco,{},,,761,761
,,361,,70A-aga,{},,,1199,1199
,,361,,70A-ain,{},,,1526,1526
,,359,,70A-akn,{},,,1741,1741
,,358,,70A-ala,{},,,1868,1868
,,359,,70A-alw,{},,,2221,2221
,,359,,70A-alb,{},,,1971,1971
,,362,,70A-ame,{},,,2456,2456
,,358,,70A-amh,{},,,2577,2577
,,358,,70A-adk,{},,,922,922
,,361,,70A-ago,{},,,1376,1376
,,362,,70A-anu,{},,,3440,3440
,,361,,70A-ao,{},,,3529,3529
,,358,,70A-apl,{},,,3662,3662
,,361,,70A-apt,{},,,3709,3709
,,359,,70A-api,{},,,3625,3625
,,360,,70A-apu,{},,,3805,3805
,,358,,70A-abb,{},,,71,71
,,358,,70A-aeg,{},,,1097,1097
,,358,,70A-arg,{},,,4066,4066
,,358,,70A-amr,{},,,2900,2900
,,358,,70A-anl,{},,,3371,3371
,,362,,70A-apa,{},,,3599,3599
,,358,,70A-ars,{},,,4494,4494
,,362,,70A-ark,{},,,4150,4150
,,358,,70A-ard,{},,,4047,4047
,,358,,70A-ana,{},,,3108,3108
,,358,,70A-arp,{},,,4394,4394
,,358,,70A-arm,{},,,4219,4219
,,361,,70A-asm,{},,,4609,4609
,,358,,70A-ath,{},,,4844,4844
,,358,,70A-ava,{},,,5011,5011
,,362,,70A-avo,{},,,5061,5061
,,358,,70A-awp,{},,,5224,5224
,,361,,70A-aym,{},,,5432,5432
,,358,,70A-ayr,{},,,5497,5497
,,358,,70A-azi,{},,,5577,5577
,,358,,70A-bab,{},,,5661,5661
,,362,,70A-bag,{},,,5871,5871
,,358,,70A-bam,{},,,6106,6106
,,361,,70A-brs,{},,,9353,9353
,,361,,70A-bae,{},,,5748,5748
,,358,,70A-bsk,{},,,9526,9526
,,358,,70A-bsq,{},,,9630,9630
,,361,,70A-bkr,{},,,7667,7667
,,362,,70A-baw,{},,,6335,6335
,,358,,70A-bej,{},,,6750,6750
,,358,,70A-bel,{},,,6825,6825
,,358,,70A-bem,{},,,6855,6855
,,358,,70A-bfg,{},,,7011,7011
,,358,,70A-bma,{},,,8092,8092
,,358,,70A-ber,{},,,6943,6943
,,362,,70A-bhu,{},,,7230,7230
,,358,,70A-bbw,{},,,6506,6506
,,361,,70A-bii,{},,,7297,7297
,,362,,70A-bir,{},,,7465,7465
,,358,,70A-brz,{},,,9450,9450
,,362,,70A-brr,{},,,9281,9281
,,358,,70A-brh,{},,,8872,8872
,,358,,70A-bre,{},,,8732,8732
,,361,,70A-bkt,{},,,7737,7737
,,358,,70A-bdk,{},,,6620,6620
,,358,,70A-bud,{},,,9898,9898
,,359,,70A-buk,{},,,9972,9972
,,358,,70A-bul,{},,,10008,10008
,,362,,70A-brm,{},,,9082,9082
,,358,,70A-bur,{},,,10172,10172
,,358,,70A-cah,{},,,10624,10624
,,358,,70A-cak,{},,,10731,10731
,,358,,70A-cml,{},,,12896,12896
,,361,,70A-cnl,{},,,13185,13185
,,362,,70A-cnt,{},,,13319,13319
,,358,,70A-car,{},,,10890,10890
,,361,,70A-csh,{},,,14060,14060
,,359,,70A-ctl,{},,,14195,14195
,,358,,70A-cay,{},,,11090,11090
,,358,,70A-cyv,{},,,14571,14571
,,358,,70A-ceb,{},,,11434,11434
,,358,,70A-cld,{},,,12681,12681
,,361,,70A-chc,{},,,11683,11683
,,358,,70A-cmh,{},,,12856,12856
,,361,,70A-ccm,{},,,11235,11235
,,358,,70A-cle,{},,,12737,12737
,,361,,70A-cte,{},,,14128,14128
,,359,,70A-crg,{},,,13931,13931
,,358,,70A-coi,{},,,13466,13466
,,362,,70A-chr,{},,,12260,12260
,,358,,70A-chj,{},,,11917,11917
,,362,,70A-chk,{},,,12014,12014
,,358,,70A-chv,{},,,12396,12396
,,358,,70A-cmn,{},,,12971,12971
,,358,,70A-coo,{},,,13528,13528
,,358,,70A-cor,{},,,13644,13644
,,358,,70A-cre,{},,,13878,13878
,,358,,70A-cze,{},,,14632,14632
,,358,,70A-dbd,{},,,14934,14934
,,358,,70A-dag,{},,,14744,14744
,,358,,70A-dgr,{},,,15291,15291
,,361,,70A-dam,{},,,14830,14830
,,358,,70A-dni,{},,,16303,16303
,,361,,70A-dsh,{},,,16726,16726
,,361,,70A-des,{},,,15072,15072
,,358,,70A-die,{},,,15513,15513
,,358,,70A-dig,{},,,15572,15572
,,362,,70A-dio,{},,,15732,15732
,,358,,70A-diz,{},,,15883,15883
,,361,,70A-dja,{},,,15904,15904
,,362,,70A-djp,{},,,16046,16046
,,362,,70A-don,{},,,16445,16445
,,362,,70A-dre,{},,,16579,16579
,,358,,70A-dmi,{},,,16172,16172
,,361,,70A-dut,{},,,16993,16993
,,358,,70A-dyi,{},,,17101,17101
,,358,,70A-eka,{},,,17374,17374
,,358,,70A-emc,{},,,17467,17467
,,358,,70A-emb,{},,,17432,17432
,,362,,70A-egn,{},,,17249,17249
,,362,,70A-eng,{},,,17623,17623
,,358,,70A-epe,{},,,17807,17807
,,358,,70A-err,{},,,17920,17920
,,358,,70A-est,{},,,18036,18036
,,358,,70A-evn,{},,,18285,18285
,,358,,70A-eve,{},,,18182,18182
,,362,,70A-ewe,{},,,18373,18373
,,358,,70A-far,{},,,18517,18517
,,362,,70A-fij,{},,,18636,18636
,,358,,70A-fin,{},,,18784,18784
,,359,,70A-fre,{},,,19053,19053
,,359,,70A-fri,{},,,19143,19143
,,358,,70A-fua,{},,,19183,19183
,,362,,70A-fur,{},,,19315,19315
,,362,,70A-fue,{},,,19236,19236
,,358,,70A-fye,{},,,19453,19453
,,362,,70A-gll,{},,,20687,20687
,,358,,70A-glc,{},,,20679,20679
,,358,,70A-gam,{},,,19682,19682
,,361,,70A-gar,{},,,19799,19799
,,362,,70A-gbk,{},,,19960,19960
,,362,,70A-geo,{},,,20152,20152
,,359,,70A-ger,{},,,20300,20300
,,358,,70A-gim,{},,,20494,20494
,,361,,70A-god,{},,,20983,20983
,,358,,70A-goj,{},,,21057,21057
,,362,,70A-goo,{},,,21211,21211
,,359,,70A-grb,{},,,21334,21334
,,358,,70A-grk,{},,,21559,21559
,,358,,70A-grw,{},,,21785,21785
,,359,,70A-gua,{},,,21945,21945
,,358,,70A-guj,{},,,22127,22127
,,358,,70A-gum,{},,,22201,22201
,,358,,70A-gmz,{},,,20809,20809
,,362,,70A-gwa,{},,,22361,22361
,,361,,70A-hai,{},,,22521,22521
,,358,,70A-hlu,{},,,23789,23789
,,362,,70A-hmr,{},,,24045,24045
,,358,,70A-ham,{},,,22684,22684
,,362,,70A-hat,{},,,22799,22799
,,359,,70A-hau,{},,,22906,22906
,,362,,70A-haw,{},,,23033,23033
,,361,,70A-hya,{},,,24874,24874
,,362,,70A-hay,{},,,23083,23083
,,358,,70A-heb,{},,,23232,23232
,,358,,70A-her,{},,,23373,23373
,,358,,70A-hin,{},,,23519,23519
,,358,,70A-hix,{},,,23666,23666
,,362,,70A-hmd,{},,,23858,23858
,,362,,70A-hmo,{},,,23963,23963
,,358,,70A-hui,{},,,24500,24500
,,358,,70A-hmi,{},,,23876,23876
,,362,,70A-hun,{},,,24649,24649
,,361,,70A-hzb,{},,,24959,24959
,,362,,70A-iaa,{},,,25056,25056
,,359,,70A-ice,{},,,25216,25216
,,361,,70A-ido,{},,,25295,25295
,,358,,70A-igb,{},,,25433,25433
,,359,,70A-ijo,{},,,25636,25636
,,358,,70A-ik,{},,,25704,25704
,,362,,70A-ika,{},,,25787,25787
,,361,,70A-imo,{},,,25970,25970
,,362,,70A-ind,{},,,26143,26143
,,361,,70A-ing,{},,,26283,26283
,,362,,70A-iqu,{},,,26388,26388
,,358,,70A-irq,{},,,26598,26598
,,358,,70A-iri,{},,,26472,26472
,,359,,70A-ita,{},,,26834,26834
,,359,,70A-jab,{},,,27124,27124
,,358,,70A-jak,{},,,27230,27230
,,361,,70A-jpn,{},,,27833,27833
,,358,,70A-jaq,{},,,27362,27362
,,362,,70A-jar,{},,,27393,27393
,,358,,70A-jeb,{},,,27478,27478
,,362,,70A-juh,{},,,28002,28002
,,361,,70A-kbl,{},,,28782,28782
,,362,,70A-kdw,{},,,29008,29008
,,358,,70A-kmk,{},,,31899,31899
,,358,,70A-kms,{},,,32061,32061
,,362,,70A-kam,{},,,28360,28360
,,358,,70A-kwe,{},,,35603,35603
,,358,,70A-knd,{},,,32360,32360
,,358,,70A-knr,{},,,32802,32802
,,358,,70A-krc,{},,,33992,33992
,,361,,70A-krt,{},,,34552,34552
,,358,,70A-krk,{},,,34265,34265
,,358,,70A-kas,{},,,28503,28503
,,358,,70A-kws,{},,,35763,35763
,,362,,70A-kyl,{},,,36059,36059
,,361,,70A-kay,{},,,28679,28679
,,362,,70A-kei,{},,,29091,29091
,,358,,70A-kyg,{},,,35998,35998
,,362,,70A-ker,{},,,29252,29252
,,358,,70A-krq,{},,,34508,34508
,,358,,70A-ket,{},,,29362,29362
,,358,,70A-kte,{},,,34961,34961
,,358,,70A-kew,{},,,29484,29484
,,358,,70A-khk,{},,,30071,30071
,,361,,70A-kha,{},,,29912,29912
,,358,,70A-kty,{},,,35102,35102
,,362,,70A-khm,{},,,30173,30173
,,362,,70A-kmu,{},,,32132,32132
,,362,,70A-klv,{},,,31565,31565
,,358,,70A-kil,{},,,30639,30639
,,362,,70A-kim,{},,,30673,30673
,,358,,70A-kio,{},,,30786,30786
,,358,,70A-krb,{},,,33932,33932
,,358,,70A-kis,{},,,30913,30913
,,361,,70A-kiw,{},,,30997,30997
,,361,,70A-klm,{},,,31407,31407
,,358,,70A-koa,{},,,32990,32990
,,358,,70A-kob,{},,,33112,33112
,,358,,70A-kod,{},,,33188,33188
,,358,,70A-koi,{},,,33263,33263
,,361,,70A-kok,{},,,33281,33281
,,359,,70A-kon,{},,,33426,33426
,,361,,70A-kkn,{},,,31098,31098
,,362,,70A-krn,{},,,34337,34337
,,361,,70A-kor,{},,,33563,33563
,,361,,70A-kfe,{},,,29609,29609
,,361,,70A-kow,{},,,33725,33725
,,358,,70A-kse,{},,,34721,34721
,,362,,70A-kpe,{},,,33806,33806
,,358,,70A-kro,{},,,34428,34428
,,358,,70A-kui,{},,,35160,35160
,,358,,70A-knm,{},,,32629,32629
,,358,,70A-kmp,{},,,32006,32006
,,358,,70A-krd,{},,,34055,34055
,,358,,70A-kut,{},,,35408,35408
,,358,,70A-kuv,{},,,35494,35494
,,362,,70A-kwa,{},,,35551,35551
,,358,,70A-kwr,{},,,35738,35738
,,358,,70A-lad,{},,,36421,36421
,,358,,70A-lno,{},,,38813,38813
,,358,,70A-lak,{},,,36691,36691
,,362,,70A-lkt,{},,,38411,38411
,,358,,70A-lan,{},,,36838,36838
,,360,,70A-lat,{},,,37045,37045
,,358,,70A-lav,{},,,37180,37180
,,358,,70A-laz,{},,,37254,37254
,,358,,70A-lng,{},,,38802,38802
,,361,,70A-lep,{},,,37642,37642
,,361,,70A-lez,{},,,37859,37859
,,358,,70A-lil,{},,,38086,38086
,,358,,70A-lim,{},,,38126,38126
,,362,,70A-lnd,{},,,38755,38755
,,359,,70A-lin,{},,,38171,38171
,,358,,70A-lit,{},,,38284,38284
,,361,,70A-lob,{},,,38822,38822
,,361,,70A-lgt,{},,,37966,37966
,,362,,70A-lon,{},,,38838,38838
,,361,,70A-lot,{},,,38882,38882
,,358,,70A-loz,{},,,38942,38942
,,361,,70A-lug,{},,,39057,39057
,,358,,70A-luo,{},,,39199,39199
,,358,,70A-luv,{},,,39317,39317
,,358,,70A-mle,{},,,43186,43186
,,358,,70A-mab,{},,,39517,39517
,,358,,70A-mcd,{},,,41310,41310
,,358,,70A-mac,{},,,39589,39589
,,362,,70A-mad,{},,,39657,39657
,,361,,70A-mai,{},,,39779,39779
,,358,,70A-mak,{},,,39887,39887
,,361,,70A-mal,{},,,40008,40008
,,358,,70A-mym,{},,,47172,47172
,,358,,70A-mlt,{},,,43340,43340
,,358,,70A-mam,{},,,40102,40102
,,362,,70A-mnm,{},,,43972,43972
,,358,,70A-mdn,{},,,41617,41617
,,362,,70A-mnd,{},,,43746,43746
,,359,,70A-mdk,{},,,41557,41557
,,358,,70A-myi,{},,,47081,47081
,,358,,70A-man,{},,,40154,40154
,,358,,70A-mns,{},,,44066,44066
,,361,,70A-mnx,{},,,44137,44137
,,362,,70A-mao,{},,,40251,40251
,,358,,70A-map,{},,,40393,40393
,,362,,70A-mku,{},,,43073,43073
,,361,,70A-mhi,{},,,42358,42358
,,358,,70A-mrg,{},,,45047,45047
,,358,,70A-mar,{},,,40534,40534
,,358,,70A-mme,{},,,43452,43452
,,358,,70A-mrd,{},,,44971,44971
,,361,,70A-mrt,{},,,45432,45432
,,358,,70A-msl,{},,,45691,45691
,,358,,70A-mau,{},,,40695,40695
,,362,,70A-may,{},,,40895,40895
,,361,,70A-mbb,{},,,41038,41038
,,358,,70A-mhu,{},,,42422,42422
,,361,,70A-mby,{},,,41247,41247
,,358,,70A-mbg,{},,,41067,41067
,,358,,70A-meh,{},,,41824,41824
,,361,,70A-mei,{},,,41929,41929
,,361,,70A-mde,{},,,41479,41479
,,361,,70A-mik,{},,,42536,42536
,,361,,70A-msg,{},,,45606,45606
,,358,,70A-mss,{},,,45865,45865
,,361,,70A-mxc,{},,,46701,46701
,,362,,70A-mxy,{},,,46955,46955
,,358,,70A-miy,{},,,42703,42703
,,362,,70A-mok,{},,,44371,44371
,,362,,70A-mon,{},,,44446,44446
,,358,,70A-mgo,{},,,42268,42268
,,362,,70A-mbo,{},,,41158,41158
,,358,,70A-mop,{},,,44523,44523
,,358,,70A-moe,{},,,44223,44223
,,358,,70A-mro,{},,,45261,45261
,,358,,70A-mos,{},,,44580,44580
,,362,,70A-mul,{},,,46145,46145
,,362,,70A-mum,{},,,46172,46172
,,358,,70A-mna,{},,,43578,43578
,,362,,70A-mdg,{},,,41517,41517
,,358,,70A-mun,{},,,46265,46265
,,362,,70A-muu,{},,,46501,46501
,,361,,70A-mup,{},,,46345,46345
,,362,,70A-mrl,{},,,45167,45167
,,358,,70A-mwe,{},,,46562,46562
,,362,,70A-mwo,{},,,46602,46602
,,359,,70A-nma,{},,,50428,50428
,,361,,70A-npn,{},,,50931,50931
,,361,,70A-ngt,{},,,49443,49443
,,358,,70A-nht,{},,,49777,49777
,,362,,70A-kho,{},,,30313,30313
,,358,,70A-nan,{},,,47673,47673
,,358,,70A-ntn,{},,,51190,51190
,,362,,70A-nav,{},,,47919,47919
,,359,,70A-ndg,{},,,48352,48352
,,362,,70A-ndy,{},,,48591,48591
,,362,,70A-nel,{},,,48697,48697
,,359,,70A-ntu,{},,,51269,51269
,,359,,70A-nen,{},,,48701,48701
,,358,,70A-nap,{},,,47726,47726
,,358,,70A-nez,{},,,48917,48917
,,362,,70A-ngl,{},,,49290,49290
,,358,,70A-nga,{},,,48995,48995
,,359,,70A-nbm,{},,,48135,48135
,,358,,70A-nti,{},,,51099,51099
,,361,,70A-ngi,{},,,49144,49144
,,362,,70A-nca,{},,,48235,48235
,,362,,70A-nim,{},,,49943,49943
,,358,,70A-niv,{},,,50099,50099
,,361,,70A-nkn,{},,,50239,50239
,,359,,70A-nko,{},,,50307,50307
,,359,,70A-noo,{},,,50785,50785
,,361,,70A-nor,{},,,50855,50855
,,358,,70A-nub,{},,,51371,51371
,,358,,70A-nbd,{},,,48058,48058
,,362,,70A-nug,{},,,51470,51470
,,362,,70A-nun,{},,,51557,51557
,,359,,70A-nng,{},,,50616,50616
,,361,,70A-nya,{},,,51757,51757
,,358,,70A-obo,{},,,52048,52048
,,359,,70A-occ,{},,,52110,52110
,,358,,70A-oka,{},,,52260,52260
,,361,,70A-ond,{},,,52449,52449
,,362,,70A-ong,{},,,52547,52547
,,358,,70A-ood,{},,,52615,52615
,,358,,70A-orh,{},,,52766,52766
,,359,,70A-oss,{},,,53052,53052
,,358,,70A-oix,{},,,52176,52176
,,358,,70A-otm,{},,,53127,53127
,,358,,70A-pms,{},,,54680,54680
,,358,,70A-pta,{},,,55963,55963
,,362,,70A-pno,{},,,54813,54813
,,361,,70A-pai,{},,,53446,53446
,,362,,70A-pal,{},,,53533,53533
,,361,,70A-pnn,{},,,54775,54775
,,358,,70A-pan,{},,,53620,53620
,,361,,70A-pny,{},,,54918,54918
,,358,,70A-psm,{},,,55801,55801
,,362,,70A-plh,{},,,54503,54503
,,358,,70A-pau,{},,,53799,53799
,,362,,70A-pec,{},,,53990,53990
,,359,,70A-prs,{},,,55591,55591
,,361,,70A-pba,{},,,53917,53917
,,358,,70A-pip,{},,,54185,54185
,,362,,70A-prh,{},,,55417,55417
,,361,,70A-pit,{},,,54319,54319
,,358,,70A-ppi,{},,,55265,55265
,,358,,70A-pol,{},,,55121,55121
,,361,,70A-pso,{},,,55887,55887
,,358,,70A-zqs,{},,,76161,76161
,,359,,70A-por,{},,,55202,55202
,,358,,70A-pur,{},,,56175,56175
,,358,,70A-prk,{},,,55493,55493
,,358,,70A-qim,{},,,56523,56523
,,358,,70A-qta,{},,,56599,56599
,,358,,70A-ram,{},,,56807,56807
,,362,,70A-rap,{},,,56960,56960
,,358,,70A-rwa,{},,,58081,58081
,,358,,70A-ret,{},,,57237,57237
,,359,,70A-rav,{},,,57056,57056
,,359,,70A-rom,{},,,57498,57498
,,359,,70A-rka,{},,,57393,57393
,,358,,70A-rsu,{},,,57720,57720
,,358,,70A-rus,{},,,57958,57958
,,358,,70A-sno,{},,,61051,61051
,,362,,70A-slb,{},,,60369,60369
,,358,,70A-sdw,{},,,58764,58764
,,362,,70A-san,{},,,58437,58437
,,358,,70A-sgu,{},,,59200,59200
,,362,,70A-snm,{},,,60937,60937
,,362,,70A-sap,{},,,58510,58510
,,358,,70A-srd,{},,,61818,61818
,,361,,70A-saw,{},,,58598,58598
,,361,,70A-see,{},,,58913,58913
,,361,,70A-sel,{},,,58968,58968
,,361,,70A-sem,{},,,59015,59015
,,362,,70A-sml,{},,,60592,60592
,,359,,70A-sgl,{},,,59172,59172
,,358,,70A-snt,{},,,61121,61121
,,358,,70A-scr,{},,,58665,58665
,,358,,70A-shb,{},,,59245,59245
,,358,,70A-shl,{},,,59490,59490
,,358,,70A-shk,{},,,59417,59417
,,358,,70A-shu,{},,,59726,59726
,,362,,70A-sko,{},,,60122,60122
,,362,,70A-sla,{},,,60278,60278
,,358,,70A-slo,{},,,60435,60435
,,358,,70A-so,{},,,61182,61182
,,358,,70A-sou,{},,,61447,61447
,,358,,70A-stn,{},,,62141,62141
,,358,,70A-spa,{},,,61521,61521
,,358,,70A-sue,{},,,62251,62251
,,358,,70A-sug,{},,,62299,62299
,,359,,70A-sup,{},,,62512,62512
,,361,,70A-sus,{},,,62600,62600
,,362,,70A-sva,{},,,62615,62615
,,358,,70A-swa,{},,,62749,62749
,,361,,70A-swe,{},,,62852,62852
,,362,,70A-tab,{},,,63033,63033
,,358,,70A-tag,{},,,63253,63253
,,361,,70A-tah,{},,,63346,63346
,,358,,70A-tkl,{},,,65738,65738
,,358,,70A-tml,{},,,66175,66175
,,358,,70A-tnc,{},,,66486,66486
,,358,,70A-tas,{},,,63678,63678
,,358,,70A-tvo,{},,,68877,68877
,,358,,70A-tau,{},,,63733,63733
,,359,,70A-teh,{},,,64180,64180
,,358,,70A-tel,{},,,64204,64204
,,358,,70A-tem,{},,,64251,64251
,,358,,70A-tpn,{},,,67129,67129
,,358,,70A-ter,{},,,64395,64395
,,358,,70A-tet,{},,,64474,64474
,,362,,70A-ttn,{},,,68037,68037
,,362,,70A-tha,{},,,64809,64809
,,361,,70A-thk,{},,,64891,64891
,,358,,70A-tgr,{},,,64704,64704
,,362,,70A-tin,{},,,65348,65348
,,358,,70A-tir,{},,,65406,65406
,,358,,70A-tiw,{},,,65544,65544
