fid,domainelement,value,max_value
22A,118,1,7
22A,119,2,7
22A,120,3,7
22A,121,4,7
22A,122,5,7
22A,123,6,7
22A,124,7,7
26A,142,0,1
26A,143,1,1
26A,144,1,1
26A,145,1,1
26A,146,1,1
26A,147,1,1
27A,148,1,1
27A,149,1,1
27A,150,0,1
28A,151,1,4
28A,152,3,4
28A,153,2,4
28A,154,4,4
29A,155,1,3
29A,156,2,3
29A,157,3,3
30A,158,1,5
30A,159,2,5
30A,160,3,5
30A,161,4,5
30A,162,5,5
33A,169,1,1
33A,170,1,1
33A,171,1,1
33A,172,1,1
33A,173,1,1
33A,174,1,1
33A,175,0,1
33A,176,1,1
33A,177,0,1
34A,178,1,6
34A,179,2,6
34A,180,3,6
34A,181,4,6
34A,182,5,6
34A,183,6,6
37A,196,0,1
37A,197,0,1
37A,198,1,1
37A,199,0,1
37A,200,0,1
38A,201,0,1
38A,202,0,1
38A,203,1,1
38A,204,0,1
38A,205,0,1
49A,253,1,8
49A,254,2,8
49A,255,3,8
49A,256,4,8
49A,257,5,8
49A,258,6,8
49A,259,7,8
49A,260,8,8
49A,261,NA,
51A,268,1,1
51A,269,1,1
51A,270,1,1
51A,271,1,1
51A,272,1,1
51A,273,1,1
51A,274,1,1
51A,275,1,1
51A,276,0,1
57A,301,1,1
57A,302,1,1
57A,303,1,1
57A,304,0,1
59A,311,1,4
59A,312,2,4
59A,313,3,4
59A,314,4,4
65A,341,1,1
65A,342,0,1
66A,343,2,4
66A,344,3,4
66A,345,4,4
66A,346,1,4
67A,347,1,1
67A,348,0,1
69A,353,1,1
69A,354,1,1
69A,355,1,1
69A,356,1,1
69A,357,0,1
70A,358,4,4
70A,359,3,4
70A,360,3,4
70A,361,2,4
70A,362,1,4
73A,371,1,1
73A,372,0,1
74A,373,1,1
74A,374,0,1
74A,375,0,1
75A,376,0,1
75A,377,1,1
75A,378,0,1
78A,385,0,1
78A,386,1,1
78A,387,1,1
78A,388,0,1
78A,389,NA,
78A,390,NA,
94A,499,0,1
94A,500,0,1
94A,501,0,1
94A,502,1,1
94A,503,NA,
101A,538,0,1
101A,539,1,1
101A,540,1,1
101A,541,0,1
101A,542,0,1
101A,543,NA,
102A,544,1,3
102A,545,2,3
102A,546,2,3
102A,547,2,3
102A,548,3,3
111A,593,0,1
111A,594,1,1
111A,595,0,1
111A,596,NA,
112A,597,1,1
112A,598,0,1
112A,599,0,1
112A,600,0,1
112A,601,NA,
112A,602,NA,
